sector,wa_bin,wa_bin_id,bias,n_sb
Investment Banking & Brokerage,5.0,10,0.924444444444445,45
Investment Banking & Brokerage,5.5,11,2.4070796460176993,113
Investment Banking & Brokerage,6.0,12,2.5478260869565217,46
Investment Banking & Brokerage,6.5,13,3.5,6
Investment Banking & Brokerage,7.0,14,,1
Leisure Products,4.0,8,-1.5833333333333333,6
Leisure Products,4.5,9,-1.0416666666666667,12
Leisure Products,5.0,10,,3
Leisure Products,5.5,11,0.45000000000000007,10
Leisure Products,6.0,12,0.8500000000000002,8
Leisure Products,6.5,13,,1
Leisure Products,7.0,14,,3
Leisure Products,7.5,15,,1
Life & Health Insurance,3.0,6,,1
Life & Health Insurance,3.5,7,,2
Life & Health Insurance,4.0,8,-1.1200000000000003,5
Life & Health Insurance,4.5,9,-0.1428571428571429,21
Life & Health Insurance,5.0,10,0.12800000000000003,25
Life & Health Insurance,5.5,11,1.8078947368421054,38
Life & Health Insurance,6.0,12,2.48516129032258,62
Life & Health Insurance,6.5,13,3.163157894736842,19
Life & Health Insurance,7.0,14,2.6734999999999993,20
Marine Transport,3.0,6,,2
Marine Transport,4.0,8,,2
Marine Transport,4.5,9,-2.9285714285714284,7
Marine Transport,5.0,10,-1.3900000000000003,10
Marine Transport,5.5,11,-0.6214285714285713,14
Marine Transport,6.0,12,0.5100000000000001,10
Marine Transport,6.5,13,,2
Media,5.0,10,,1
Media,6.0,12,,1
Media,8.0,16,,1
Media & Entertainment,2.0,4,,1
Media & Entertainment,2.5,5,,1
Media & Entertainment,3.0,6,-1.5833333333333333,6
Media & Entertainment,3.5,7,-1.0523809523809522,21
Media & Entertainment,4.0,8,-0.7465116279069768,43
Media & Entertainment,4.5,9,-0.1945454545454546,55
Media & Entertainment,5.0,10,0.3973684210526317,76
Media & Entertainment,5.5,11,0.8238095238095237,42
Media & Entertainment,6.0,12,1.6774193548387097,31
Media & Entertainment,6.5,13,2.185714285714286,7
Media & Entertainment,7.0,14,,3
Media & Entertainment,7.5,15,,2
Metals and Mining - Non-Precious Metals,0.5,1,,2
Metals and Mining - Non-Precious Metals,1.5,3,,2
Metals and Mining - Non-Precious Metals,2.0,4,-0.9727272727272728,11
Metals and Mining - Non-Precious Metals,2.5,5,-0.46874999999999994,16
Metals and Mining - Non-Precious Metals,3.0,6,-0.00833333333333334,24
Metals and Mining - Non-Precious Metals,3.5,7,0.625,24
Metals and Mining - Non-Precious Metals,4.0,8,0.7576923076923078,26
Metals and Mining - Non-Precious Metals,4.5,9,1.3130434782608698,46
Metals and Mining - Non-Precious Metals,5.0,10,1.7705882352941178,34
Metals and Mining - Non-Precious Metals,5.5,11,2.1818181818181817,11
Metals and Mining - Non-Precious Metals,6.0,12,,3
Metals and Mining - Non-Precious Metals,6.5,13,,3
Metals and Mining - Precious Metals,1.5,3,,3
Metals and Mining - Precious Metals,2.0,4,,1
Metals and Mining - Precious Metals,2.5,5,,3
Metals and Mining - Precious Metals,3.0,6,,1
Metals and Mining - Precious Metals,3.5,7,-1.2599999999999998,10
Metals and Mining - Precious Metals,4.0,8,-0.07142857142857151,21
Metals and Mining - Precious Metals,4.5,9,0.6476190476190476,21
Metals and Mining - Precious Metals,5.0,10,1.4043478260869566,23
Metals and Mining - Precious Metals,5.5,11,2.4473684210526314,19
Metals and Mining - Precious Metals,6.0,12,,1
Multi-Line Insurance & Brokerage,1.0,2,,1
Multi-Line Insurance & Brokerage,2.5,5,,3
Multi-Line Insurance & Brokerage,3.0,6,,2
Multi-Line Insurance & Brokerage,3.5,7,-1.5625,8
Multi-Line Insurance & Brokerage,4.0,8,-1.5999999999999999,6
Multi-Line Insurance & Brokerage,4.5,9,-0.4631578947368425,19
Multi-Line Insurance & Brokerage,5.0,10,0.09310344827586207,29
Multi-Line Insurance & Brokerage,5.5,11,0.6736842105263158,19
Multi-Line Insurance & Brokerage,6.0,12,1.6500000000000004,12
Multi-Line Insurance & Brokerage,6.5,13,1.7982352941176476,17
Multi-Line Insurance & Brokerage,7.0,14,2.282272727272728,22
Multi-Line Insurance & Brokerage,7.5,15,2.40625,16
Multi-Line Insurance & Brokerage,8.0,16,2.0,9
Oil & Gas Exploration & Production,1.0,2,,1
Oil & Gas Exploration & Production,1.5,3,,1
Oil & Gas Exploration & Production,2.0,4,,3
Oil & Gas Exploration & Production,2.5,5,-2.6666666666666665,6
Oil & Gas Exploration & Production,3.0,6,-1.875,8
Oil & Gas Exploration & Production,3.5,7,-1.4208333333333334,24
Oil & Gas Exploration & Production,4.0,8,-0.2250000000000002,16
Oil & Gas Exploration & Production,4.5,9,0.7156250000000002,32
Oil & Gas Exploration & Production,5.0,10,1.2867924528301884,53
Oil & Gas Exploration & Production,5.5,11,2.2875,32
Oil & Gas Exploration & Production,6.0,12,2.8375,8
Oil & Gas Exploration & Production,6.5,13,,3
Oil & Gas Exploration & Production,7.5,15,,1
"Oil & Gas Refining, Marketing, Transportation & Storage",3.0,6,,2
"Oil & Gas Refining, Marketing, Transportation & Storage",3.5,7,-1.3937500000000003,16
"Oil & Gas Refining, Marketing, Transportation & Storage",4.0,8,-1.2407407407407407,27
"Oil & Gas Refining, Marketing, Transportation & Storage",4.5,9,-0.32500000000000007,36
"Oil & Gas Refining, Marketing, Transportation & Storage",5.0,10,0.509734513274336,113
"Oil & Gas Refining, Marketing, Transportation & Storage",5.5,11,0.829032258064516,31
"Oil & Gas Refining, Marketing, Transportation & Storage",6.0,12,1.7754385964912278,57
"Oil & Gas Refining, Marketing, Transportation & Storage",6.5,13,2.069230769230769,13
"Oil & Gas Refining, Marketing, Transportation & Storage",7.0,14,2.406060606060606,33
"Oil & Gas Refining, Marketing, Transportation & Storage",7.5,15,2.2333333333333334,9
"Oil & Gas Refining, Marketing, Transportation & Storage",8.0,16,,1
"Oil & Gas Refining, Marketing, Transportation & Storage",9.0,18,,1
Paper & Forest Products,2.5,5,,1
Paper & Forest Products,3.5,7,,4
Paper & Forest Products,4.0,8,-1.7285714285714289,14
Paper & Forest Products,4.5,9,-0.6846153846153846,13
Paper & Forest Products,5.0,10,0.3000000000000002,13
Paper & Forest Products,5.5,11,1.3923076923076925,13
Paper & Forest Products,6.0,12,,2
Paper & Forest Products,6.5,13,3.2,5
Paper & Forest Products,7.0,14,,1
Pharmaceuticals,1.5,3,,1
Pharmaceuticals,2.0,4,-1.1833333333333333,6
Pharmaceuticals,2.5,5,-0.7333333333333331,6
Pharmaceuticals,3.0,6,-0.444,25
Pharmaceuticals,3.5,7,0.19333333333333347,45
Pharmaceuticals,4.0,8,0.7193548387096774,62
Pharmaceuticals,4.5,9,1.2953488372093025,43
Pharmaceuticals,5.0,10,2.0580645161290327,62
Pharmaceuticals,5.5,11,2.572222222222222,18
Pharmaceuticals,6.0,12,3.3000000000000007,6
Pharmaceuticals,6.5,13,,4
Professional Services,3.0,6,,2
Professional Services,3.5,7,,2
Professional Services,4.0,8,-1.69,10
Professional Services,4.5,9,-1.4149999999999996,20
Professional Services,5.0,10,-0.55,20
Professional Services,5.5,11,-0.1521739130434782,23
Professional Services,6.0,12,0.51,30
Professional Services,6.5,13,1.1642857142857141,42
Professional Services,7.0,14,2.069230769230769,13
Professional Services,7.5,15,,4
Professional Services,8.0,16,,4
Property & Casualty Insurance,2.5,5,,3
Property & Casualty Insurance,3.0,6,,3
Property & Casualty Insurance,3.5,7,-2.2444444444444445,9
Property & Casualty Insurance,4.0,8,-1.1263157894736844,19
Property & Casualty Insurance,4.5,9,0.3058823529411764,17
Property & Casualty Insurance,5.0,10,1.0735294117647058,34
Property & Casualty Insurance,5.5,11,2.054166666666667,24
Property & Casualty Insurance,6.0,12,3.0031250000000003,16
Property & Casualty Insurance,6.5,13,3.342857142857143,7
Property & Casualty Insurance,7.0,14,,4
Property & Casualty Insurance,7.5,15,,2
Real Estate Development & Diversified Activities,1.5,3,,1
Real Estate Development & Diversified Activities,2.0,4,-1.7222222222222223,9
Real Estate Development & Diversified Activities,2.5,5,-1.3499999999999999,10
Real Estate Development & Diversified Activities,3.0,6,-0.9846153846153846,26
Real Estate Development & Diversified Activities,3.5,7,-0.42321428571428565,56
Real Estate Development & Diversified Activities,4.0,8,-0.021621621621621723,37
Real Estate Development & Diversified Activities,4.5,9,0.22051282051282056,39
Real Estate Development & Diversified Activities,5.0,10,0.5504347826086955,46
Real Estate Development & Diversified Activities,5.5,11,0.9641025641025641,39
Real Estate Development & Diversified Activities,6.0,12,1.2565217391304346,46
Real Estate Development & Diversified Activities,6.5,13,1.689473684210526,19
